order_id,date,customer_id,product_name,category,price,quantity,country,total
1,10/05/2024,1518,Mouse,Office,1476.78,4,Israel,5907.12
2,31/12/2024,1711,Desk Lamp,Office,871.83,4,Germany,3487.32
3,10/11/2024,1335,Headphones,Accessories,1275.28,3,UK,3825.84
4,02/05/2022,1066,USB Cable,Office,1445.52,1,UK,1445.52
5,12/04/2023,1492,Laptop,Accessories,1029.14,2,USA,2058.28
6,27/11/2022,1649,Keyboard,Accessories,494.81,3,Canada,1484.43
7,29/03/2022,1753,USB Cable,Electronics,466.37,1,France,466.37
8,21/05/2024,1966,Laptop,Accessories,111.56,2,Canada,223.12
9,11/05/2022,1212,Headphones,Accessories,644.52,1,Canada,644.52
10,09/02/2024,1180,Desk Lamp,Electronics,1373.51,2,France,2747.02
11,10/12/2022,1765,Laptop,Office,719.7,2,Israel,1439.4
12,16/03/2024,1612,Webcam,Office,1366.94,2,France,2733.88
13,21/01/2023,1862,USB Cable,Accessories,1226.63,4,UK,4906.52
14,13/08/2024,1598,USB Cable,Electronics,1476.36,3,USA,4429.08
15,04/10/2022,1696,Desk Lamp,Accessories,1421.8,4,France,5687.2
16,05/04/2023,1602,Keyboard,Accessories,1061.19,4,Germany,4244.76
17,22/01/2022,1247,Laptop,Office,1307.47,2,Germany,2614.94
18,10/09/2022,1213,Keyboard,Electronics,1123.38,3,Germany,3370.14
19,18/01/2024,1358,USB Cable,Accessories,1056.57,3,France,3169.71
20,06/05/2024,1248,Laptop,Office,1074.76,3,USA,3224.28
21,20/04/2023,1637,Laptop,Accessories,1082.96,3,France,3248.88
22,18/12/2024,1922,Keyboard,Office,572.23,2,UK,1144.46
23,26/05/2023,1949,Webcam,Electronics,638.23,3,France,1914.69
24,01/12/2023,1880,Laptop,Accessories,444.64,1,Canada,444.64
25,02/09/2024,1515,Webcam,Electronics,226.65,1,Germany,226.65
26,09/07/2022,1087,Mouse,Office,690.37,4,Germany,2761.48
27,15/08/2024,1662,Monitor,Electronics,1350.42,2,Canada,2700.84
28,18/11/2023,1175,Mouse,Electronics,978.64,4,USA,3914.56
29,15/08/2024,1722,Monitor,Electronics,88.99,4,Israel,355.96
30,17/07/2023,1425,Mouse,Accessories,1217.74,3,Germany,3653.22
31,11/04/2024,1770,Monitor,Office,1403.43,1,Germany,1403.43
32,09/10/2023,1602,Laptop,Electronics,1244.99,1,Israel,1244.99
33,21/01/2022,1770,Keyboard,Accessories,1092.67,3,France,3278.01
34,20/04/2024,1923,Keyboard,Office,229.43,3,Germany,688.29
35,16/06/2022,1702,Desk Lamp,Office,526.75,2,USA,1053.5
36,23/01/2023,1080,Headphones,Office,850.1,1,France,850.1
37,24/08/2023,1926,Desk Lamp,Electronics,119.91,4,France,479.64
38,12/11/2022,1137,Monitor,Electronics,163.87,4,Germany,655.48
39,14/01/2022,1432,Headphones,Electronics,1401.71,2,France,2803.42
40,30/08/2022,1469,Webcam,Office,1055.52,1,France,1055.52
41,16/02/2024,1349,Webcam,Office,416.26,3,USA,1248.78
42,19/07/2023,1125,Headphones,Electronics,494.4,4,France,1977.6
43,16/06/2024,1880,Monitor,Electronics,579.72,1,Canada,579.72
44,02/04/2022,1916,Keyboard,Office,117.23,1,Germany,117.23
45,13/08/2024,1867,Monitor,Office,1110.07,1,Germany,1110.07
46,24/05/2023,1308,Webcam,Accessories,269.37,3,Canada,808.11
47,15/02/2024,1854,Laptop,Accessories,1208.65,4,Canada,4834.6
48,04/02/2022,1229,Headphones,Electronics,1269.58,3,Canada,3808.74
49,25/07/2022,1459,Headphones,Office,959.46,1,Israel,959.46
50,22/10/2024,1344,Webcam,Office,1155.93,1,UK,1155.93
51,18/10/2024,1309,Monitor,Accessories,261.89,4,Israel,1047.56
52,20/07/2023,1952,Headphones,Office,866.03,4,USA,3464.12
53,04/12/2023,1019,Keyboard,Electronics,1016.81,3,USA,3050.43
54,06/02/2023,1880,Headphones,Accessories,994.03,3,Germany,2982.09
55,31/12/2023,1560,Monitor,Office,180.35,3,UK,541.05
56,11/06/2022,1646,Webcam,Office,519.85,1,Israel,519.85
57,21/07/2022,1540,Keyboard,Electronics,490.93,4,UK,1963.72
58,22/09/2024,1559,Keyboard,Office,860.93,2,Germany,1721.86
59,27/09/2022,1476,Headphones,Accessories,1149.03,4,France,4596.12
60,26/03/2024,1268,Monitor,Accessories,858.03,4,Germany,3432.12
61,01/04/2023,1002,Headphones,Office,1133.47,4,Germany,4533.88
62,13/10/2024,1769,USB Cable,Office,152.96,2,UK,305.92
63,23/10/2022,1015,Laptop,Office,1317.82,3,USA,3953.46
64,21/12/2023,1605,Desk Lamp,Office,807.24,2,France,1614.48
65,04/12/2022,1357,Webcam,Accessories,61.06,4,France,244.24
66,28/05/2024,1645,USB Cable,Electronics,966.6,4,USA,3866.4
67,12/12/2024,1812,Desk Lamp,Accessories,778.43,1,UK,778.43
68,02/03/2024,1838,Laptop,Office,334.45,4,UK,1337.8
69,05/08/2022,1132,Keyboard,Office,1147.82,2,USA,2295.64
70,03/02/2024,1311,Headphones,Accessories,1400.68,2,Israel,2801.36
71,07/07/2022,1966,Laptop,Accessories,487.41,2,UK,974.82
72,15/01/2023,1481,Mouse,Office,743.4,3,USA,2230.2
73,08/05/2023,1894,Laptop,Accessories,196.62,1,Israel,196.62
74,30/11/2024,1543,Headphones,Office,1395.05,3,Germany,4185.15
75,15/01/2022,1304,Desk Lamp,Accessories,481.6,2,France,963.2
76,06/03/2022,1268,Headphones,Office,296.2,3,USA,888.6
77,05/06/2023,1413,Webcam,Accessories,720.25,1,UK,720.25
78,10/10/2023,1024,Laptop,Office,69.71,1,France,69.71
79,22/12/2024,1980,Headphones,Electronics,382.99,1,Israel,382.99
80,16/08/2023,1315,Headphones,Electronics,106.15,1,France,106.15
