order_id,date,customer_id,product_name,category,price,quantity,country,total,month,year
1,2024-05-10,1518,Mouse,Office,1476.78,4,Israel,5907.12,5,2024
2,2024-12-31,1711,Desk Lamp,Office,871.83,4,Germany,3487.32,12,2024
3,2024-11-10,1335,Headphones,Accessories,1275.28,3,UK,3825.84,11,2024
4,2022-05-02,1066,USB Cable,Office,1445.52,1,UK,1445.52,5,2022
5,2023-04-12,1492,Laptop,Accessories,1029.14,2,USA,2058.28,4,2023
6,2022-11-27,1649,Keyboard,Accessories,494.81,3,Canada,1484.43,11,2022
7,2022-03-29,1753,USB Cable,Electronics,466.37,1,France,466.37,3,2022
8,2024-05-21,1966,Laptop,Accessories,111.56,2,Canada,223.12,5,2024
9,2022-05-11,1212,Headphones,Accessories,644.52,1,Canada,644.52,5,2022
10,2024-02-09,1180,Desk Lamp,Electronics,1373.51,2,France,2747.02,2,2024
11,2022-12-10,1765,Laptop,Office,719.7,2,Israel,1439.4,12,2022
12,2024-03-16,1612,Webcam,Office,1366.94,2,France,2733.88,3,2024
13,2023-01-21,1862,USB Cable,Accessories,1226.63,4,UK,4906.52,1,2023
14,2024-08-13,1598,USB Cable,Electronics,1476.36,3,USA,4429.08,8,2024
15,2022-10-04,1696,Desk Lamp,Accessories,1421.8,4,France,5687.2,10,2022
16,2023-04-05,1602,Keyboard,Accessories,1061.19,4,Germany,4244.76,4,2023
17,2022-01-22,1247,Laptop,Office,1307.47,2,Germany,2614.94,1,2022
18,2022-09-10,1213,Keyboard,Electronics,1123.38,3,Germany,3370.14,9,2022
19,2024-01-18,1358,USB Cable,Accessories,1056.57,3,France,3169.71,1,2024
20,2024-05-06,1248,Laptop,Office,1074.76,3,USA,3224.28,5,2024
21,2023-04-20,1637,Laptop,Accessories,1082.96,3,France,3248.88,4,2023
22,2024-12-18,1922,Keyboard,Office,572.23,2,UK,1144.46,12,2024
23,2023-05-26,1949,Webcam,Electronics,638.23,3,France,1914.69,5,2023
24,2023-12-01,1880,Laptop,Accessories,444.64,1,Canada,444.64,12,2023
25,2024-09-02,1515,Webcam,Electronics,226.65,1,Germany,226.65,9,2024
26,2022-07-09,1087,Mouse,Office,690.37,4,Germany,2761.48,7,2022
27,2024-08-15,1662,Monitor,Electronics,1350.42,2,Canada,2700.84,8,2024
28,2023-11-18,1175,Mouse,Electronics,978.64,4,USA,3914.56,11,2023
29,2024-08-15,1722,Monitor,Electronics,88.99,4,Israel,355.96,8,2024
30,2023-07-17,1425,Mouse,Accessories,1217.74,3,Germany,3653.22,7,2023
31,2024-04-11,1770,Monitor,Office,1403.43,1,Germany,1403.43,4,2024
32,2023-10-09,1602,Laptop,Electronics,1244.99,1,Israel,1244.99,10,2023
33,2022-01-21,1770,Keyboard,Accessories,1092.67,3,France,3278.01,1,2022
34,2024-04-20,1923,Keyboard,Office,229.43,3,Germany,688.29,4,2024
35,2022-06-16,1702,Desk Lamp,Office,526.75,2,USA,1053.5,6,2022
36,2023-01-23,1080,Headphones,Office,850.1,1,France,850.1,1,2023
37,2023-08-24,1926,Desk Lamp,Electronics,119.91,4,France,479.64,8,2023
38,2022-11-12,1137,Monitor,Electronics,163.87,4,Germany,655.48,11,2022
39,2022-01-14,1432,Headphones,Electronics,1401.71,2,France,2803.42,1,2022
40,2022-08-30,1469,Webcam,Office,1055.52,1,France,1055.52,8,2022
41,2024-02-16,1349,Webcam,Office,416.26,3,USA,1248.78,2,2024
42,2023-07-19,1125,Headphones,Electronics,494.4,4,France,1977.6,7,2023
43,2024-06-16,1880,Monitor,Electronics,579.72,1,Canada,579.72,6,2024
44,2022-04-02,1916,Keyboard,Office,117.23,1,Germany,117.23,4,2022
45,2024-08-13,1867,Monitor,Office,1110.07,1,Germany,1110.07,8,2024
46,2023-05-24,1308,Webcam,Accessories,269.37,3,Canada,808.11,5,2023
47,2024-02-15,1854,Laptop,Accessories,1208.65,4,Canada,4834.6,2,2024
48,2022-02-04,1229,Headphones,Electronics,1269.58,3,Canada,3808.74,2,2022
49,2022-07-25,1459,Headphones,Office,959.46,1,Israel,959.46,7,2022
50,2024-10-22,1344,Webcam,Office,1155.93,1,UK,1155.93,10,2024
51,2024-10-18,1309,Monitor,Accessories,261.89,4,Israel,1047.56,10,2024
52,2023-07-20,1952,Headphones,Office,866.03,4,USA,3464.12,7,2023
53,2023-12-04,1019,Keyboard,Electronics,1016.81,3,USA,3050.43,12,2023
54,2023-02-06,1880,Headphones,Accessories,994.03,3,Germany,2982.09,2,2023
55,2023-12-31,1560,Monitor,Office,180.35,3,UK,541.05,12,2023
56,2022-06-11,1646,Webcam,Office,519.85,1,Israel,519.85,6,2022
57,2022-07-21,1540,Keyboard,Electronics,490.93,4,UK,1963.72,7,2022
58,2024-09-22,1559,Keyboard,Office,860.93,2,Germany,1721.86,9,2024
